"File","Status","Detail"
"#DREAMS are fleeting, fall in LOVE, girls!\#DREAMS are fleeting, fall in LOVE, girls! (Instrumental).flac","rejected-instrumental-name",""
"[20221007] 僕が愛したすべての君へ & 君を愛したひとりの僕へ「Original Soundtracks」\01. ふたりの空間 (映画「僕が愛したすべての君へ」.flac","rejected-low-vocal-confidence","lines=2; unique=2; ratio=1; repeat=1; chars=18; hallucinations=2"
"[20221007] 僕が愛したすべての君へ & 君を愛したひとりの僕へ「Original Soundtracks」\02. 「僕愛」オープニングテーマ (映画「僕が愛したすべての君へ」).flac","rejected-low-vocal-confidence","lines=2; unique=1; ratio=0.5; repeat=2; chars=28; hallucinations=2"
"[20221007] 僕が愛したすべての君へ & 君を愛したひとりの僕へ「Original Soundtracks」\03. 道 ～はじまり～ (映画「僕が愛したすべての君へ」).flac","rejected-low-vocal-confidence","lines=10; unique=2; ratio=0.2; repeat=9; chars=64; hallucinations=2"
"[20221007] 僕が愛したすべての君へ & 君を愛したひとりの僕へ「Original Soundtracks」\04. 出会い (映画「僕が愛したすべての君へ」).flac","rejected-low-vocal-confidence","lines=3; unique=1; ratio=0.333; repeat=3; chars=6; hallucinations=0"
"[20221007] 僕が愛したすべての君へ & 君を愛したひとりの僕へ「Original Soundtracks」\05. 優しさの種類 (映画「僕が愛したすべての君へ」).flac","rejected-low-vocal-confidence","lines=7; unique=1; ratio=0.143; repeat=7; chars=98; hallucinations=7"
"[20221007] 僕が愛したすべての君へ & 君を愛したひとりの僕へ「Original Soundtracks」\06. 道 ～気づき～ (映画「僕が愛したすべての君へ」).flac","rejected-low-vocal-confidence","lines=15; unique=5; ratio=0.333; repeat=11; chars=102; hallucinations=3"
"[20221007] 僕が愛したすべての君へ & 君を愛したひとりの僕へ「Original Soundtracks」\07. 考察 (映画「僕が愛したすべての君へ」).flac","rejected-low-vocal-confidence","lines=5; unique=1; ratio=0.2; repeat=5; chars=70; hallucinations=5"
"[20221007] 僕が愛したすべての君へ & 君を愛したひとりの僕へ「Original Soundtracks」\08. 初恋の入り口 (映画「僕が愛したすべての君へ」).flac","rejected-low-vocal-confidence","lines=6; unique=1; ratio=0.167; repeat=6; chars=84; hallucinations=6"
"[20221007] 僕が愛したすべての君へ & 君を愛したひとりの僕へ「Original Soundtracks」\09. 恋の途中 (映画「僕が愛したすべての君へ」).flac","rejected-low-vocal-confidence","lines=3; unique=1; ratio=0.333; repeat=3; chars=42; hallucinations=3"
"[20221007] 僕が愛したすべての君へ & 君を愛したひとりの僕へ「Original Soundtracks」\10. 新たな始まり (映画「僕が愛したすべての君へ」).flac","rejected-low-vocal-confidence","lines=5; unique=1; ratio=0.2; repeat=5; chars=70; hallucinations=5"
